from_name,to_name,distance_km
Pithoragarh,Ranikhet,160.47
Pithoragarh,Kotdwara,301.22
Pithoragarh,New Tehri,368.77
Chamoli,Dehradun,297.34
Chamoli,Haridwar,283.62
Chamoli,Rishikesh,258.75
Chamoli,Mussoorie,288.55
Chamoli,Nainital,284.97
Chamoli,Haldwani,305.42
Chamoli,Rudrapur,336.54
Chamoli,Pithoragarh,322.34
Chamoli,Tehri,237.89
Chamoli,Uttarkashi,336.73
Chamoli,Joshimath,11.03
Chamoli,Bageshwar,228.79
Chamoli,Doiwala,279.78
Chamoli,Kichha,334.92
Chamoli,Sitarganj,343.76
Chamoli,Khatima,372.91
Chamoli,Tanakpur,380.56
Chamoli,Lohaghat,358.53
Chamoli,Ranikhet,226.39
Chamoli,Kotdwara,291.32
Chamoli,New Tehri,231.06
Tehri,Dehradun,81.33
Tehri,Haridwar,95.88
Tehri,Rishikesh,71.41
Tehri,Mussoorie,62.35
Tehri,Nainital,313.54
Tehri,Haldwani,306.04
Tehri,Rudrapur,315.79
Tehri,Pithoragarh,375.6
Tehri,Chamoli,237.89
Tehri,Uttarkashi,137.11
Tehri,Joshimath,226.86
Tehri,Bageshwar,282.04
Tehri,Doiwala,81.38
Tehri,Kichha,325.11
Tehri,Sitarganj,346.92
Tehri,Khatima,376.08
Tehri,Tanakpur,383.73
Tehri,Lohaghat,411.78
Tehri,Ranikhet,279.64
Tehri,Kotdwara,157.36
Tehri,New Tehri,24.92
Uttarkashi,Dehradun,175.19
Uttarkashi,Haridwar,219.69
Uttarkashi,Rishikesh,195.22
Uttarkashi,Mussoorie,156.21
Uttarkashi,Nainital,425.33
Uttarkashi,Haldwani,417.83
Uttarkashi,Rudrapur,427.58
Uttarkashi,Pithoragarh,474.44
Uttarkashi,Chamoli,336.73
Uttarkashi,Tehri,137.11
Uttarkashi,Joshimath,325.7
Uttarkashi,Bageshwar,380.89
Uttarkashi,Doiwala,194.24
Uttarkashi,Kichha,436.9
Uttarkashi,Sitarganj,458.71
Uttarkashi,Khatima,487.86
Uttarkashi,Tanakpur,495.51
Uttarkashi,Lohaghat,510.63
Uttarkashi,Ranikhet,378.49
Uttarkashi,Kotdwara,281.17
Uttarkashi,New Tehri,142.39
Joshimath,Dehradun,286.31
Joshimath,Haridwar,272.59
Joshimath,Rishikesh,247.72
Joshimath,Mussoorie,277.52
Joshimath,Nainital,273.93
Joshimath,Haldwani,294.39
Joshimath,Rudrapur,325.51
Joshimath,Pithoragarh,311.31
Joshimath,Chamoli,11.03
Joshimath,Tehri,226.86
Joshimath,Uttarkashi,325.7
Joshimath,Bageshwar,217.76
Joshimath,Doiwala,268.75
Joshimath,Kichha,323.88
Joshimath,Sitarganj,332.72
Joshimath,Khatima,361.88
Joshimath,Tanakpur,369.53
Joshimath,Lohaghat,347.5
Joshimath,Ranikhet,215.36
Joshimath,Kotdwara,280.29
Joshimath,New Tehri,220.03
Bageshwar,Dehradun,341.5
Bageshwar,Haridwar,327.78
Bageshwar,Rishikesh,302.9
Bageshwar,Mussoorie,332.7
Bageshwar,Nainital,162.38
Bageshwar,Haldwani,182.83
Bageshwar,Rudrapur,213.95
Bageshwar,Pithoragarh,120.25
Bageshwar,Chamoli,228.79
Bageshwar,Tehri,282.04
Bageshwar,Uttarkashi,380.89
Bageshwar,Joshimath,217.76
Bageshwar,Doiwala,323.93
Bageshwar,Kichha,212.33
Bageshwar,Sitarganj,221.17
Bageshwar,Khatima,250.32
Bageshwar,Tanakpur,257.97
Bageshwar,Lohaghat,181.09
Bageshwar,Ranikhet,112.02
Bageshwar,Kotdwara,265.15
Bageshwar,New Tehri,275.21
Doiwala,Dehradun,19.59
Doiwala,Haridwar,34.84
Doiwala,Rishikesh,22.24
Doiwala,Mussoorie,39.69
Doiwala,Nainital,265.19
Doiwala,Haldwani,257.68
Doiwala,Rudrapur,267.43
Doiwala,Pithoragarh,394.24
Doiwala,Chamoli,279.77
Doiwala,Tehri,81.37
Doiwala,Uttarkashi,194.28
Doiwala,Joshimath,268.74
Doiwala,Bageshwar,323.92
Doiwala,Kichha,276.76
Doiwala,Sitarganj,298.56
Doiwala,Khatima,327.72
Doiwala,Tanakpur,335.37
Doiwala,Lohaghat,397.65
Doiwala,Ranikhet,247.85
Doiwala,Kotdwara,101.12
Doiwala,New Tehri,77.3
Kichha,Dehradun,297.77
Kichha,Haridwar,250.17
Kichha,Rishikesh,262.03
Kichha,Mussoorie,317.87
Kichha,Nainital,74.26
Kichha,Haldwani,29.59
Kichha,Rudrapur,12.3
Kichha,Pithoragarh,213.74
Kichha,Chamoli,334.81
Kichha,Tehri,325.14
Kichha,Uttarkashi,436.93
Kichha,Joshimath,323.77
Kichha,Bageshwar,212.22
Kichha,Doiwala,280.19
Kichha,Sitarganj,40.8
Kichha,Khatima,68.34
Kichha,Tanakpur,87.45
Kichha,Lohaghat,178.28
Kichha,Ranikhet,110.73
Kichha,Kotdwara,183.76
Kichha,New Tehri,316.57
Sitarganj,Dehradun,318.9
Sitarganj,Haridwar,271.3
Sitarganj,Rishikesh,283.16
Sitarganj,Mussoorie,339.0
Sitarganj,Nainital,82.56
Sitarganj,Haldwani,40.24
Sitarganj,Rudrapur,44.6
Sitarganj,Pithoragarh,198.51
Sitarganj,Chamoli,343.11
Sitarganj,Tehri,346.27
Sitarganj,Uttarkashi,458.06
Sitarganj,Joshimath,332.08
Sitarganj,Bageshwar,220.52
Sitarganj,Doiwala,301.32
Sitarganj,Kichha,41.62
Sitarganj,Khatima,34.32
Sitarganj,Tanakpur,53.44
Sitarganj,Lohaghat,144.27
Sitarganj,Ranikhet,119.03
Sitarganj,Kotdwara,204.89
Sitarganj,New Tehri,337.7
Khatima,Dehradun,348.7
Khatima,Haridwar,301.1
Khatima,Rishikesh,312.96
Khatima,Mussoorie,368.81
Khatima,Nainital,112.37
Khatima,Haldwani,70.05
Khatima,Rudrapur,72.15
Khatima,Pithoragarh,173.27
Khatima,Chamoli,372.91
Khatima,Tehri,376.08
Khatima,Uttarkashi,487.87
Khatima,Joshimath,361.88
Khatima,Bageshwar,250.32
Khatima,Doiwala,331.12
Khatima,Kichha,69.17
Khatima,Sitarganj,34.75
Khatima,Tanakpur,28.19
Khatima,Lohaghat,119.02
Khatima,Ranikhet,148.84
Khatima,Kotdwara,234.7
Khatima,New Tehri,367.51
Tanakpur,Dehradun,356.4
Tanakpur,Haridwar,308.79
Tanakpur,Rishikesh,320.65
Tanakpur,Mussoorie,376.5
Tanakpur,Nainital,120.06
Tanakpur,Haldwani,77.74
Tanakpur,Rudrapur,90.16
Tanakpur,Pithoragarh,146.73
Tanakpur,Chamoli,380.6
Tanakpur,Tehri,383.77
Tanakpur,Uttarkashi,495.56
Tanakpur,Joshimath,369.57
Tanakpur,Bageshwar,258.01
Tanakpur,Doiwala,338.81
Tanakpur,Kichha,87.17
Tanakpur,Sitarganj,52.75
